price : 74.71 USD | variation : +0.59% | date : 1679006524193
price : 72.47 USD | variation : -3.00% | date : 1679187446519
price : 72.47 USD | variation : -3.00% | date : 1679187497620
price : 72.47 USD | variation : -3.00% | date : 1679187548756
price : 72.47 USD | variation : -3.00% | date : 1679187599820
price : 72.47 USD | variation : -3.00% | date : 1679187650672
price : 72.47 USD | variation : -3.00% | date : 1679187701695
price : 72.47 USD | variation : -3.00% | date : 1679187761473
price : 72.47 USD | variation : -3.00% | date : 1679187812583
price : 72.47 USD | variation : -3.00% | date : 1679187863490
price : 72.47 USD | variation : -3.00% | date : 1679187915398
price : 72.47 USD | variation : -3.00% | date : 1679192535478


price : 72.47 USD | variation : -3.00% | date : 1679206835380


price : 72.47 USD | variation : -3.00% | date : 1679221327235








price : 72.47 USD | variation : -3.00% | date : 1679235607283
price : 72.47 USD | variation : -3.00% | date : 1679235658598
price : 72.47 USD | variation : -3.00% | date : 1679235709890

price : 72.47 USD | variation : -3.00% | date : 1679236465992
price : 72.47 USD | variation : -3.00% | date : 1679236517418
price : 72.47 USD | variation : -3.00% | date : 1679236662700
price : 72.47 USD | variation : -3.00% | date : 1679236789948
price : 72.47 USD | variation : -3.00% | date : 1679236912533
price : 72.47 USD | variation : -3.00% | date : 1679236963748
price : 72.47 USD | variation : -3.00% | date : 1679237107505
price : 72.47 USD | variation : -3.00% | date : 1679237233025
price : 72.47 USD | variation : -3.00% | date : 1679237439652
price : 72.47 USD | variation : -3.00% | date : 1679237559403
price : 72.47 USD | variation : -3.00% | date : 1679237574144
price : 72.47 USD | variation : -3.00% | date : 1679237625408
price : 72.47 USD | variation : -3.00% | date : 1679237676600
price : 72.47 USD | variation : -3.00% | date : 1679237728017
price : 72.47 USD | variation : -3.00% | date : 1679237779561
price : 72.47 USD | variation : -3.00% | date : 1679237830706
price : 72.47 USD | variation : -3.00% | date : 1679237882029
price : 72.47 USD | variation : -3.00% | date : 1679237933298
price : 72.47 USD | variation : -3.00% | date : 1679237984979
price : 72.47 USD | variation : -3.00% | date : 1679238036521
price : 72.47 USD | variation : -3.00% | date : 1679238088035
price : 72.47 USD | variation : -3.00% | date : 1679238139876
price : 72.47 USD | variation : -3.00% | date : 1679238191514
price : 72.47 USD | variation : -3.00% | date : 1679238255422
